schema,hardware,operation,resolution,input,size,fps,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,throughput_fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","3","3","32","30","1080p","414696","0.015999074","2.117","47.234","null","546.402344","2266.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","3","3","32","30","1080p","414696","0.015999074","2.048","48.817","36.535355","531.003906","2266.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","3","32","30","1080p","414696","0.015999074","2.116333","47.246667","null","546.402344","2266.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","1080p","/home/oelghati/datasets/hd/BasketballDrive_1920x1080_50.yuv","1920x1080","60","100","10","average","3","32","30","1080p","414696","0.015999074","2.053667","48.688667","36.535355","531.027344","2266.000000","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","3","32","100","qcif","10795","0.034075126","0.110","913.125","null","479.246094","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","1","3","32","100","qcif","10795","0.034075126","0.102","976.033","38.390035","479.304688","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","3","32","100","qcif","10795","0.034075126","0.108","928.012","null","479.332031","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","2","3","32","100","qcif","10795","0.034075126","0.096","1040.144","38.390035","479.339844","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","3","3","32","100","qcif","10795","0.034075126","0.100","1002.809","null","479.28125","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","decode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","3","3","32","100","qcif","10795","0.034075126","0.095","1056.013","38.390035","479.359375","932.0","null","null","procfs+nvidia-smi","100"
"resolution-matrix.v1","rtx4070","encode","qcif","/home/oelghati/datasets/qcif/akiyo_qcif.yuv","176x144","30","100","10","average","3","32","100","qcif","10795","0.034075126","0.106000","947.982000","null","479.332031","932.000000","null","null","procfs+nvidia-smi","100"
