schema,hardware,execution_mode,container_image,container_digest,operation,resolution,input,size,frames,warmup_frames,run_index,runs_planned,qp,gop_size,engine_profile,payload_bytes,payload_bpp,codec_time_seconds,fps,psnr_yuv,peak_memory_mb,peak_gpu_memory_mb,peak_system_memory_mb,min_largest_free_block_mb,memory_sampler,memory_sample_ms
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","2","2","32","30","540p","159063","0.024546759","1.660","60.246","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","2","2","32","30","540p","159063","0.024546759","1.987","50.320","35.982801","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","average","2","32","30","540p","159063","0.024546759","1.650000","60.602500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","540p","/input/540p/BasketballDrive_960x540_50.yuv","960x540","100","10","average","2","32","30","540p","159063","0.024546759","1.997000","50.069000","35.982801","null","null","null","null","","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","1","2","32","30","720p","138858","0.012053646","2.817","35.502","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","1","2","32","30","720p","138858","0.012053646","3.419","29.249","40.439735","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","2","2","32","30","720p","138858","0.012053646","2.860","34.963","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","2","2","32","30","720p","138858","0.012053646","3.396","29.446","40.439735","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","encode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","average","2","32","30","720p","138858","0.012053646","2.838500","35.232500","null","null","null","null","null","none","0"
"resolution-matrix.v1","rtx3050","docker","omarelghati/nvcr:latest-amd64-cuda12.8-trt10.9","omarelghati/nvcr@sha256:40f215cd15d424f2f86971523ffff9c5a321081b9ffe68c898116254dcf971de","decode","720p","/input/720p/FourPeople_1280x720_60.yuv","1280x720","100","10","average","2","32","30","720p","138858","0.012053646","3.407500","29.347500","40.439735","null","null","null","null","","0"
