sequence,width,height,qp,gop,implementation,operation,mode,metric,n,mean,sample_std,cv_percent,minimum,maximum
basketball-1080p,1920,1080,0,100,nvcr,encode,throughput,throughput_fps,10,44.06060877118169,0.029241750036513043,0.06636710397800703,44.02013489245767,44.12202038806467
basketball-1080p,1920,1080,0,100,python,decode,memory,process_peak_rss_mib,10,1280.8625,0.17062558824176174,0.0133211479172637,1280.5234375,1281.0625
basketball-1080p,1920,1080,0,100,python,decode,throughput,codec_seconds,10,2.2074418514009038,0.0025017045479249983,0.11333048462125275,2.2028834950015153,2.211237538002024
basketball-1080p,1920,1080,0,100,python,decode,throughput,process_seconds,10,5.648557340299999,0.01810540035683827,0.32053140768642135,5.626338647000011,5.6787651320000805
basketball-1080p,1920,1080,0,100,python,decode,throughput,throughput_fps,10,45.301358919483306,0.05134467871334644,0.11334026161247011,45.223544861831336,45.39504709482206
basketball-1080p,1920,1080,0,100,python,encode,memory,process_peak_rss_mib,10,1285.883203125,2.717774790424914,0.21135471587311191,1283.54296875,1290.5859375
basketball-1080p,1920,1080,0,100,python,encode,throughput,codec_seconds,10,4.836604800699138,0.01837420143659774,0.3798987552992075,4.8176033410036325,4.869609621998961
basketball-1080p,1920,1080,0,100,python,encode,throughput,process_seconds,10,8.60589412789975,0.020477039884300163,0.23794203809590136,8.577779248000297,8.639216865999515
basketball-1080p,1920,1080,0,100,python,encode,throughput,throughput_fps,10,20.675928634401814,0.07835246906508517,0.378955017936741,20.53552702628148,20.75720911866675
basketball-1080p,1920,1080,21,1,nvcr,decode,memory,process_peak_rss_mib,10,486.93046875,0.08563710123327908,0.017587131372805286,486.79296875,487.0859375
