campaign,campaign_fingerprint,execution_id,case_id,sequence,width,height,qp,gop,implementation,operation,mode,repeat,frames,timed_frames,warmup_frames,codec_seconds,throughput_fps,initialization_seconds,process_seconds,process_fps,process_peak_rss_mib,file_bytes,entropy_bytes,file_bpp,entropy_bpp,pooled_psnr_yuv_db
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,b17842d1-bce2-4f23-afd1-a8f0c8699451-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,memory,9,100,100,10,0.39081223600078374,255.87735180277073,1.55493927399948,3.5914233279982,,1263.75390625,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,b17842d1-bce2-4f23-afd1-a8f0c8699451-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,memory,9,100,100,10,0.5167608899864717,193.51309655538734,1.563887665000948,3.760214862999419,,1287.8203125,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,ae51a0eb-fb4f-45ff-b5da-335380e586b6-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,quality,0,100,100,10,0.4029104439941875,248.1941123408621,1.5675347639989923,3.6286449040017033,,,,,,,28.618143449694777
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,ae51a0eb-fb4f-45ff-b5da-335380e586b6-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,quality,0,100,100,10,0.5107759810125572,195.78054512618428,1.5625975479997578,3.761617624997598,,,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,4543b3b6-fa5c-4181-827f-1ecdceec253e-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,throughput,0,100,100,10,0.39352978900205926,254.11036926476922,1.5695618419999846,3.5983352469997953,27.790629036963015,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,4543b3b6-fa5c-4181-827f-1ecdceec253e-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,throughput,0,100,100,10,0.5178428239994446,193.10878777400467,1.585672015,3.7590036630001578,26.602793975515155,,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,54b79a74-3836-497e-884d-36dc8d2266e5-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,throughput,1,100,100,10,0.3943042449977838,253.61126913701384,1.5581534350003494,3.577530673000183,27.95224112394211,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,54b79a74-3836-497e-884d-36dc8d2266e5-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,throughput,1,100,100,10,0.5135108380009115,194.7378567301485,1.5532763109999905,3.7383071990002463,26.750075549367235,,15775,15369,0.04979482323232323,0.04851325757575758,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,90f386b4-36df-42be-844e-09c29957e3ee-decode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,decode,throughput,2,100,100,10,0.39632509100329116,252.31811527968483,1.5680106429999796,3.599506136999935,27.781588971910068,,,,,,
full,a6cc2b4f3c254003fbd2c4278a59d4682682813b179d6c1fa83cfa38036a993e,90f386b4-36df-42be-844e-09c29957e3ee-encode,akiyo-qcif-q0-g1,akiyo-qcif,176,144,0,1,python,encode,throughput,2,100,100,10,0.508184557000277,196.77890369255257,1.5600921329996709,3.771350517999963,26.515700283683096,,15775,15369,0.04979482323232323,0.04851325757575758,
